original_id,alias,name,teaser,description,metakeys,metadesc,is_music,catnum,genre,length,quality,tracklist,release,cover,relations,created,viewed,timestamp
1,insomnia,Insomnia,"Сет с которого все и началось, впервые был записан в 2004 году, с тех пор собственно ничего не изменилось, кроме качества звука - сет был переигран в 2007 только ради этой цели...","Сет с которого все и началось, впервые был записан в 2004 году, с тех пор собственно ничего не изменилось, кроме качества звука - сет был переигран в 2007 только ради этой цели...","Insomnia,Noise,Ambient,Easy Listening,Light Synthetic Compilation,MNT001","Сет с которого все и началось, впервые был записан в 2004 году, с тех пор собственно ничего не изменилось, кроме качества звука - сет был переигран в 2007 только ради этой цели...",1,MNT001,"Noise, ambient",79:31,LAME 192kbps 44100Hz,"1. Http - Звезды небесные
2. I/dex - Zeel
3. Pole 3 - Silbefisch
4. Deep-z - Returning (Dedicated to Fula)
5. I/dex - Ksren
6. Plastikman - Disconnect    
7. Akvalangist - Adpcm
8. Fax - 20w
9. David Alvarado - Aire  
10. Fax - Aslip
11. Deluge - Departure
12. Pole 3 - Uberfahrt
13. Taylor Deupree - Snow-Sand",./content/release/M01_Manti_Insomnia_mix.mp3,./content/covers/insomnia.jpg,"3,4,5",2005-08-08 00:00:00,67,2017-04-29 10:29:15
2,resume,Моё резюме,"Кратко о себе, основные сведения, профессиональные знания и навыки.","<img src=""/content/images/side.jpg"" class=""post-image"" alt=""Manti""/>
<p>
    <i>
        - А как ты начал изучать электронику?
        <br />
        - Как-то лет в 12 я нашел старый трансформатор, слегка его перемотал и включил. Энергосистема опознала нового
        радиотехника и приветливо моргнула всем домом. Вот так и начал...
    </i>
</p>
<p>
    <strong>Кратко о себе</strong>:
</p>
<p>
    Высшее техническое образование по специальности инженер-программист со специализацией информационные и интернет
    технологии.
</p>
<p>
    Коммуникабельность, умение работать в команде, технический английский, грамотная речь, эмоциональная выдержка,
    большой опыт общения с клиентами (от пенсионеров до высоких должностных лиц), крепкое здоровье, без вредных превычек.
</p>
<p>
    Без проблем работаю как на windows платформе, так и на linux платформах. Неплохо владею пакетом Adobe Photoshop.
</p>
<p><strong>Основные сведения</strong>:</p>
<ul>
    <li>
        Более чем 10-летний практический (6-летний коммерческий) опыт разработки web-приложений от стадии постановки
        задачи до запуска работающего проекта.
    </li>
    <li>
        Высоконагруженные приложения со сложной архитектурой и пропускной способностью более чем 5000rps.
        Горизонтальное и вертикальное масштабирование.
    </li>
    <li>
        Знание, понимание и практическое использование ООП, шаблоны проектирования.
    </li>
    <li>
        Грамотное оформление кода (иерархия, описание, комментарии), умение читать и понимать чужой код, в т.ч.
        ""плохой"", асинхронный и декомпилированный.
    </li>
    <li>
        Оптимизация существующего кода: Python, PHP, JS, MySQL (Join/Union/Proc), HTML/CSS (контексты, шаблонизация,
        анимация), кеширование на различных уровнях MVC (Memcached, Filecache). Интерфейсы и прототипирование,
        составление технической документации по проекту.
    </li>
    <li>
        Администрирование и запуск серверов: LAMP (Ubuntu, Centos), WAMP (Windows Server). Apache/Nginx + Python,
        PHP (uWSGI, Gunicorn, Mod FCGI, CLI) + Memcache/Redis + MySQL/PostgreSQL/MongoDB, высокий уровень
        владения bash/sh.
    </li>
    <li>
        Зависимости - Pip/Composer/NPM, отладка и профилирование кода - xDebug, системы контроля версий - SVN/GIT/Mercurial,
        ветвление, слияние, откаты и т.п.
    </li>
</ul>
<p><strong>Профессиональные знания и навыки</strong>:</p>
<ul>
    <li>
        Языки программирования: PHP 9+ лет, JS 9+ лет , Python 4+ лет, MySQL 7+ лет, HTML5/CSS3, NodeJS, NoSQL/MongoDB,
        Ruby On Rails, .NET MVC.
    </li>
    <li>
        Сервисы: Google/Facebook/Yandex API, Salesforce, Authorize.net, Sailthru, Mandrill/Mailchimp, SOAP/REST, OAuth.
    </li>
    <li>
        Библиотеки: Django, Yii, YUI/AlloyUI, React, jQuery, Angular, Zend, Doctrine, Slim, Rails, Magento, Wordpress,
        OpenCart и др.
    </li>
    <li>
        Участие в проектах: Artspace.com, Architizer.com, Aprenita.com, AHALife.com, eTouches.com, Blismobile.com,
        LYF.com, DealOn.com, CityHint.com, 3Key.com, NOICentral.com и другие.
    </li>
</ul>
<p>
    Образцы исходного кода можно посмотреть здесь:
    <a href=""https://github.com/manti-by"" target=""_blank"">https://github.com/manti-by</a>
    <p>
        <a href=""#print"" onClick=""window.print();"" class=""print"">Распечатать эту страницу</a>
    </p>
</p>","For IT,Other","Кратко о себе, основные сведения, профессиональные знания и навыки.",0,,,,,,,,,2013-01-01 15:32:50,297,2017-05-01 19:48:49
3,synthetic,Synthetic,"На мой взгляд, самая сложная, но и самая интересная моя амбиент работа. Интеллектуальный и качественный саунд в дополнении к немецким и чешским военным разработкам )))","На мой взгляд, самая сложная, но и самая интересная моя амбиент работа. Интеллектуальный и качественный саунд в дополнении к немецким и чешским военным разработкам )))","Synthetic,Ambient,Chillout,Light Synthetic Compilation,MNT007","На мой взгляд, самая сложная, но и самая интересная моя амбиент работа. Интеллектуальный и качественный саунд в дополнении к немецким и чешским военным разработкам )))",1,MNT007,"Ambient, Chillout",59:40,LAME 192kbps 44100Hz,"1. Falter - Nachtflug
2. H.u.v.a - Distances
3. H.u.v.a. - Acces to the long fields
4. Biosphere (Hia) - Gas street basin  
5. Fax - Deja vu
6. Telefon Tel Aviv - TTV
7. Lator - B-4 talk (Promo version)
8. Shuttle 358 - Floops
9. Solarise speek
10. Vladislav Delay - He lived deeply  
11. Monolake - Indigo    ",./content/release/M07_Manti_Synthetic_mix.mp3,./content/covers/synthetic.jpg,"1,4,5",2007-09-16 00:00:00,93,2017-04-29 10:13:53
4,plastic-toy,Plastic toy,"Третий микс из серии ""light synthetic compilation"". Смесь амбиента, нойза и даб техно!!! Многие из треков связаны ""по-три"", тем самым усложняя и украшая ""шумовую"" картину. Сет для любителей ненапряжных битов и шумов, все медлено и запутанно.","Третий микс из серии ""light synthetic compilation"". Смесь амбиента, нойза и даб техно!!! Многие из треков связаны ""по-три"", тем самым усложняя и украшая ""шумовую"" картину. Сет для любителей ненапряжных битов и шумов, все медлено и запутанно.","Plastic toy,Ambient,Chillout,Light Synthetic Compilation,MNT017","Третий микс из серии ""light synthetic compilation"". Смесь амбиента, нойза и даб техно!!! Многие из треков связаны ""по-три"", тем самым усложняя и украшая ""шумовую"" картину. Сет для любителей ненапряжных битов и шумов, все медлено и запутанно.",1,MNT017,"Ambient, Chillout",49:01,LAME 320kbps 44100Hz,"1. Biosphere - Kobresia
2. Lowtec - A2 untitled
3. I/dex - Drafts
4. Pole-3 - Rondell zwei
5. Minilogue - Stations II
6. Ike - Cluster funk
7. Intrusion - Tswana dub (Brendon Moeller vs Beat Pharmacy dub)
8. Harmash - Hibernatoria08
9. Apparat - Wooden (Anders Ilar remix)
10. Minilogue - City lights
11. Dolby - He0r
12. Harmash - Hibernatoria05
13. Minilogue - Cow, crickets and clay",./content/release/M17_Manti_Plastic_toy_mix.mp3,./content/covers/plastic-toy.jpg,"1,3,5",2009-05-07 00:00:00,61,2017-05-01 13:46:19
5,solaris,Solaris,"Четвертый микс из серии <a href=""/tag/lsc/"">Light Synthetic Compilation</a>. Почти год я собирал и отфильтровывал материал с ""исключительным"" звучанием.
","Четвертый микс из серии <a href=""/tag/lsc/"">Light Synthetic Compilation</a>. Почти год я собирал и отфильтровывал материал с ""исключительным"" звучанием.
По традиции сет построен по любимой схеме ""два+три"" (одновременно звучит более двух треков), тем самым усложняя и украшая ""шумовую"" картину.
Сет так назван не случайно, интро  - саундтрек к голливудской версии фильма ""Солярис"" Стивена Содерберга.
Слушайте, медитируйте, наслаждайтесь...","Solaris,Ambient,Chillout,Light Synthetic Compilation,MNT021",Четвертый микс из серии "light synthetic compilation". Почти год я собирал и отфильтровывал материал с "исключительным" звучанием. ,1,MNT021,"Ambient, Chillout",52:44,LAME 320kbps 44100Hz,"1. Cliff Martinez - We don't have to think like that anymore
2. Cliff Martinez - First sleep
3. Alva Noto - Xerrox monophaser 1
4. Indo - Pneuma
5. Avec.Berre - Stepdrop
6. Ilpo Vaisanen - Autioitu 1
7. Kassian Troyer - Plant shift
8. Valliam – In samsara
9. Clint Mansell - Stay with me
10. Astrum - Saturn
11. Pinch meets Pavel Ambiont - Poison/Remedy
12. Alva Noto - Xerrox phaser acat 1",./content/release/M21_Manti_Solaris_mix.mp3,./content/covers/solaris.jpg,"1,3,4",2010-04-18 00:00:00,72,2017-04-29 08:27:27
6,stockholm-syndrome,Stockholm syndrome,"Очень не стандартный для меня микс, как по компиляции, так и по технике. Специально не затачивался по мое ДР, но так уж получилось, что микс был закончен именно в этот день, знаменательно.","Очень не стандартный для меня микс, как по компиляции, так и по технике. Специально не затачивался по мое ДР, но так уж получилось, что микс был закончен именно в этот день, знаменательно.
Воодушевила меня на создание такого микса команда GusGus, так что любителям их творчества посвящается...","Featured,Stockholm syndrome,Tech House,Deep House,MNT031","Очень не стандартный для меня микс, как по компиляции, так и по технике",1,MNT031,"Tech House, Deep House",1:18:34,LAME 320kbps 44100Hz,"0. Intro - Crimea
1. Tube & Berger - Come Together (Original Mix)
2. Markus Fix - I'll House You (Original Mix)
3. Tiefschwarz feat. Cassy - Find me
4. Oxia - Housewife (feat. Miss Kittin)
5. Royksopp - Tricky Tricky (Beyond Deep remix)
6. Aki Bergen - Dont call me artist
7. Sian - East of eden (Original mix)
8. Popsled and Magit Cacoon - Higher point (Original mix)
9. Oxia, Simon Mattson - Harmonie (Simon Mattson Remix)
10. Dusty Kid - Cowboys
11. Swayzak - Make up your mind
12. Terry Lee Brown Junior - Bohemian life
13. Agoria, Carl Craig and La Scalars - Speechless (Radio Slave remix)",./content/release/M31_Manti_Stockholm_syndrome_mix.mp3,./content/covers/stockholm-syndrome.jpg,"8,24,25",2012-09-09 00:00:00,112,2017-04-15 00:31:17
8,autoreply,Autoreply promo,"Весенний промо микс на тему дип хауза. Очень долгожданный микс для меня, после длительного драмового запоя, хотя и записался довольно спонтанно.","Весенний промо микс на тему дип хауза. Очень долгожданный микс для меня, после длительного драмового запоя, хотя и записался довольно спонтанно.","Deep House,Autoreply,MNT027","Весенний промо микс на тему дип хауза. Очень долгожданный микс для меня, после длительного драмового запоя.",1,MNT027,Deep House,58:54,LAME 320kbps 44100Hz,"0. Intro - Tokyo
1. Fish Go Deep - Deep like
2. Brawther - Spaceman funk (Deep club mix)
3. Ion Ludwig - L'Sable
4. Dublee - Touch (Sweetbutter mix)
5. Oscar Barila and Maiki - Above the clouds
6. Ben Rourke - Tahiti
7. Nikola Gala - I don't stop
8. The Timewriter - Superschall (M.In remix)
9. Oscar Barila - Tampa
10. Jussi Pekka - Stream horse (Motorcitysoul remix)
11. Thomas Bjerring - Republique",./content/release/M27_Manti_Autoreply_mix_(Spring-Summer-12_promo).mp3,./content/covers/autoreply.jpg,"6,24,25",2012-05-02 00:00:00,158,2017-04-24 02:40:54
9,katana,Katana,"Этот сет является очень чистой эссенцией <a href=""/tag/neurostep/"">техничного драма</a>. Компилился долго и упорно, в итоге получилось довольно качественно.","Этот сет является очень чистой эссенцией <a href=""/tag/neurostep/"">техничного драма</a>. Компилился долго и упорно, в итоге получилось довольно качественно.","Techstep,Drum and Bass,MNT025,Featured,Neurostep",Этот сет является очень чистой эссенцией техничного драма.,1,MNT025,"Techstep, Neurostep",57:32,LAME 320kbps 44100Hz,"0. Sunchase - Asphalt
1. Amoss - Flex
2. Alix Perez - Behind time
3. Trinity - Harvester
4. Paperclip - Blueprints
5. Enei - No Fear (feat. Riya)
6 Need for mirrors - Skip rope
7. Enei - Cracker (Jubei remix)
8. Optiv & BTK - Inception
9. Ulterior Motive - Seven Segments
10. Dub Phizix - Four (feat. Skeptical)
11. Nickbee - Carpe diem
12. Malk - My crazy baby
13. Parhelia - Spaceship named Andromeda",./content/release/M25_Manti_Katana_mix.mp3,./content/covers/katana.jpg,"18,33,34",2011-12-05 00:00:00,122,2017-04-24 21:34:53
10,hobh-one,"Дом разбитых сердец, начало","Для всех тех, кто страдает...","Для всех тех, кто страдает...",Дом разбитых сердец,"Для всех тех, кто страдает...",1,MNT003,"Ambient, Lounge",64:54,LAME 192kbps 44100Hz,"1. Telepopmusik - 6p_6q_=h_4n
2. Amon Tobin - Mighty micro people
3. Manmademan - Breeze
4. Nuclear Ramjet - Near earth project
5. Telefon Tel Aviv - When it happens, it moves all by itself
6. Imogen Heap - Hide & seek 
7. Halou - Ill carri you
8. marco_manti - Music for Lilou 
9. Linkin Park - My December (Alter-Native mastering) 
10. switch (depeche mode)
11. Junkie XL - We become one
12. Planet Funk feat. Sally Doherty - Dusk
13. 2Raumwohnung - Wir erinnern uns nicht
14. Daft Punk - Something about us
15. A-ha - Summer moved on",./content/release/M03_Manti_HOBH_01_Nachalo.mp3,./content/covers/hobh-1.jpg,"11,12,13",2006-12-11 00:00:00,84,2017-04-25 14:26:26
11,hobh-two,"Дом разбитых сердец II, пепел","Вторая часть работы под общим названием ""Дом разбитых сердец"". Главная особенность данной компиляции в том, что абсолютно все треки - музыка ""наших"" исполнителей, это можно без труда заметить по треклисту. Вся музыка собиралась годами и тщательно фильтровалась. ","Вторая часть работы под общим названием ""Дом разбитых сердец"". Главная особенность данной компиляции в том, что абсолютно все треки - музыка ""наших"" исполнителей, это можно без труда заметить по треклисту. Вся музыка собиралась годами и тщательно фильтровалась. ",Дом разбитых сердец,Вторая часть работы под общим названием "Дом разбитых сердец".,1,MNT015,"Indie, Lounge ",60:32,LAME 320kbps 44100Hz,"1. Tokio - Когда ты плачешь 
2. Дельфин - Весна
3. Без билета - Ромашка
4. Земфира - Прости меня моя любовь
5. Гришковец - Извини
6. Ленинград - У меня есть все
7. Грин грей - Осень
8. 5'nizza - Сюрная
9. Океан ельзи - Вiдпусти
10. Дельфин - Любовь
11. T9 - Ода нашей любви
12. Party makers - Новая любовь
13. Нагано - Голос андеграунда
14. Krec - Искра",./content/release/M15_Manti_HOBH_02_Pepel.mp3,./content/covers/hobh-2.jpg,"10,12,13",2009-02-23 00:00:00,84,2017-04-29 16:24:41
